symbol,feed_id_hex,asset_type
Crypto.AAVE/USD,0x2b9ab1e972a281585084148ba1389800799bd4be63b957507db1349314e47445,Crypto
Crypto.ACT/USD,0x4d716b908b470fabc1f9eeaf62ad32424b2388bf981401385df19ead98499c7c,Crypto
Crypto.ADA/USD,0x2a01deaec9e51a579277b34b122399984d0bbf57e2458a7e42fecd2829867a0d,Crypto
Crypto.AERGO/USD,0xdd83d991ed72e3d688509ca349f29d2bd3d883af74a17b9515c310ff70e9d1e4,Crypto
Crypto.AERO/USD,0x9db37f4d5654aad3e37e2e14ffd8d53265fb3026d1d8f91146539eebaa2ef45f,Crypto
Crypto.AEVO/USD,0x104e4d9ba218610b9af53c887f9fcb7396615259867a5a4b5983a65802aeee0b,Crypto
Crypto.AFSUI/USD,0x17cd845b16e874485b2684f8b8d1517d744105dbb904eec30222717f4bc9ee0d,Crypto
Crypto.AI16Z/USD,0x2551eca7784671173def2c41e6f3e51e11cd87494863f1d208fdd8c64a1f85ae,Crypto
Crypto.AIXBT/USD,0x0fc54579a29ba60a08fdb5c28348f22fd3bec18e221dd6b90369950db638a5a7,Crypto
Crypto.AKT/USD,0x4ea5bb4d2f5900cc2e97ba534240950740b4d3b89fe712a94a7304fd2fd92702,Crypto
Crypto.ALGO/USD,0xfa17ceaf30d19ba51112fdcc750cc83454776f47fb0112e4af07f15f4bb1ebc0,Crypto
Crypto.ALICE/USD,0xccca1d2b0d9a9ca72aa2c849329520a378aea0ec7ef14497e67da4050d6cf578,Crypto
Crypto.ALKIMI/USD,0x1b2deae525b02c52de4a411c4f37139931215d7cc754e57dd6c84387336ccc74,Crypto
Crypto.ALP/USD.RR,0xa6cdf5ac29a2bb75c2d1347e85362b703c7c8090a21d358e6b4155294e5b3159,Crypto Redemption Rate
Crypto.ALT/USD,0x119ff2acf90f68582f5afd6f7d5f12dbae81e4423f165837169d6b94c27fb384,Crypto
Crypto.AMI/USD,0x9074ab34363ea1aada15db169f4678c10117e48f1ad1a8ba9f69c2a939c3a377,Crypto
Crypto.AMP/USD,0xd37e4513ebe235fff81e453d400debaf9a49a5df2b7faa11b3831d35d7e72cb7,Crypto
Crypto.ANIME/USD,0x45b75908a1965a86080a26d9f31ab69d045d4dda73d1394e0d3693ce00d40e6f,Crypto
Crypto.ANKR/USD,0x89a58e1cab821118133d6831f5018fba5b354afb78b2d18f575b3cbf69a4f652,Crypto
Crypto.ANON/USD,0x7a36855b8a4a6efd701ed82688694bbf67602de9faae509ae28f91065013cb82,Crypto
Crypto.APE/USD,0x15add95022ae13563a11992e727c91bdb6b55bc183d9d747436c80a483d8c864,Crypto
Crypto.APEX/USD,0x97b89f300a0d99a0f52e92b07e40180aa7639e58552ffd6a5a2382862aae81e0,Crypto
Crypto.API3/USD,0x95ea50020cf75a81a105d639fd74773ade522e12044600b52286ff5961c71412,Crypto
Crypto.APT/USD,0x03ae4db29ed4ae33d323568895aa00337e658e348b37509f5372ae51f0af00d5,Crypto
Crypto.AR/USD,0xf610eae82767039ffc95eef8feaeddb7bbac0673cfe7773b2fde24fd1adb0aee,Crypto
Crypto.ARB/USD,0x3fa4252848f9f0a1480be62745a4629d9eb1322aebab8a791e344b3b9c1adcf5,Crypto
Crypto.ARC/USD,0xac3d02825eef9c311197bcdd3ef789b2c7db97739af8f6aeca8374c55b022572,Crypto
Crypto.ARKM/USD,0x7677dd124dee46cfcd46ff03cf405fb0ed94b1f49efbea3444aadbda939a7ad3,Crypto
Crypto.ASTER/USD,0xa903b5a82cb572397e3d47595d2889cf80513f5b4cf7a36b513ae10cc8b1e338,Crypto
Crypto.ASTR/USD,0x89b814de1eb2afd3d3b498d296fca3a873e644bafb587e84d181a01edd682853,Crypto
Crypto.ATH/USD,0xf6b551a947e7990089e2d5149b1e44b369fcc6ad3627cb822362a2b19d24ad4a,Crypto
Crypto.ATLAS/USD,0x681e0eb7acf9a2a3384927684d932560fb6f67c6beb21baa0f110e993b265386,Crypto
Crypto.ATOM/USD,0xb00b60f88b03a6a625a8d1c048c3f66653edf217439983d037e7222c4e612819,Crypto
Crypto.AUDD/USD,0xab7fce8eccc9b1ab1e1050efd235bbe53c61936698de3c4ad6f9ebd7814cfd8d,Crypto
Crypto.AUDIO/USD,0x2ea070725c82f69be1a730c1730cb229dc3ab44459f41d6f06f0b9ab551e4ddb,Crypto
Crypto.AURORA/USD,0x2f7c4f738d498585065a4b87b637069ec99474597da7f0ca349ba8ac3ba9cac5,Crypto
Crypto.AUSD/USD,0xd9912df360b5b7f21a122f15bdd5e27f62ce5e72bd316c291f7c86620e07fb2a,Crypto
Crypto.AVAIL/USD,0xe886cf22d4daa8b85beb7cdeff20261248c5337443cb388b521cde838ffcaf79,Crypto
Crypto.AVAX/USD,0x93da3352f9f1d105fdfe4971cfa80e9dd777bfc5d0f683ebb6e1294b92137bb7,Crypto
Crypto.AVNT/USD,0xc4aa2587b3d35cd526b8e7827f78399d16c7861f719331869c07e5fa499606d0,Crypto
Crypto.AXL/USD,0x60144b1d5c9e9851732ad1d9760e3485ef80be39b984f6bf60f82b28a2b7f126,Crypto
Crypto.AXS/USD,0xb7e3904c08ddd9c0c10c6d207d390fd19e87eb6aab96304f571ed94caebdefa0,Crypto
Crypto.B3/USD,0xe9f7026d0e26b2643da0cc976bd6107d07092e11f2e4701f98a3c2ef45f0135a,Crypto
Crypto.BABY/USD,0x89e10b4bdeda2633eb6bca10be1674f9e6bf312772510a2f604c4f55f45ff8d9,Crypto
Crypto.BABYDOGE/USD,0x053e0a17cc9282f191a6e60165dabd4a4861a8847c06eb34f54e07155eebedba,Crypto
Crypto.BAL/USD,0x07ad7b4a7662d19a6bc675f6b467172d2f3947fa653ca97555a9b20236406628,Crypto
